ride_id,ride_type,pickup_datetime,dropoff_datetime,pickup_location,dropoff_location,trip_distance_km,num_passengers,avg_carpoolers,fare_rs,payment_type,rate_type,carbon_emitted_kg,carbon_saved_kg
RIDE000001,Carpool,2025-01-11 11:15,2025-01-11 12:20,Chromepet,Mahindra City,54.77,4,3.9,405.6,Wallet,Shared,7.668,2.848
RIDE000002,Private,2025-04-16 06:28,2025-04-16 07:24,Perungudi,Singaperumal Koil,52.82,1,,561.85,UPI,Standard,10.141,0.0
RIDE000003,Carpool,2025-03-15 05:08,2025-03-15 06:02,Mylapore,Chengalpattu Bus Stand,51.63,4,3.8,387.87,Card,Shared,7.228,2.685
RIDE000004,Carpool,2025-01-26 13:07,2025-01-26 13:53,Pallavaram,Chengalpattu Bus Stand,41.69,2,1.5,323.0,Card,Shared,5.837,2.167
RIDE000005,Private,2025-03-20 22:47,2025-03-20 23:40,Mylapore,Chengalpattu Bus Stand,59.29,1,,596.36,Cash,Standard,11.384,0.0
RIDE000006,Carpool,2025-04-24 17:01,2025-04-24 17:58,T Nagar,Singaperumal Koil,53.88,2,1.4,379.61,UPI,Shared,7.543,2.802
RIDE000007,Carpool,2025-01-11 04:48,2025-01-11 05:45,Pallavaram,Chengalpattu Bus Stand,62.13,4,3.6,457.08,Cash,Shared,8.698,3.231
RIDE000008,Carpool,2025-02-13 23:05,2025-02-13 23:47,Mylapore,Chengalpattu Bus Stand,37.73,4,3.8,247.01,UPI,Shared,5.282,1.962
RIDE000009,Carpool,2025-01-11 15:48,2025-01-11 16:48,Mylapore,Mahindra City,56.99,2,1.8,440.12,Cash,Shared,7.979,2.963
RIDE000010,Private,2025-03-08 19:47,2025-03-08 21:00,Anna Nagar,Singaperumal Koil,60.53,1,,640.51,Card,Standard,11.622,0.0
RIDE000011,Carpool,2025-03-09 08:58,2025-03-09 09:55,T Nagar,Chengalpattu Bus Stand,57.13,3,2.6,413.92,Cash,Shared,7.998,2.971
RIDE000012,Private,2025-03-25 18:06,2025-03-25 19:12,Perungudi,Mahindra City,59.53,1,,681.16,Cash,Standard,11.43,0.0
RIDE000013,Private,2025-02-24 09:44,2025-02-24 10:55,Velachery,Singaperumal Koil,59.57,1,,579.95,Cash,Standard,11.437,0.0
RIDE000014,Carpool,2025-02-19 01:56,2025-02-19 02:56,Velachery,Chengalpattu Bus Stand,50.95,3,2.8,330.48,Card,Shared,7.133,2.649
RIDE000015,Carpool,2025-03-25 21:12,2025-03-25 21:46,Anna Nagar,Chengalpattu Town,34.0,3,2.6,205.09,UPI,Shared,4.76,1.768
RIDE000016,Private,2025-01-04 11:45,2025-01-04 12:39,T Nagar,Singaperumal Koil,60.74,1,,602.2,Wallet,Standard,11.662,0.0
RIDE000017,Carpool,2025-03-26 05:34,2025-03-26 06:40,Pallavaram,Chengalpattu Bus Stand,58.76,4,3.9,371.87,Wallet,Shared,8.226,3.056
RIDE000018,Carpool,2025-03-27 07:57,2025-03-27 08:55,Anna Nagar,Chengalpattu Bus Stand,49.01,2,1.9,362.51,Cash,Shared,6.861,2.549
RIDE000019,Private,2025-04-27 16:51,2025-04-27 17:27,Adyar,Chengalpattu Bus Stand,36.41,1,,413.01,Wallet,Standard,6.991,0.0
RIDE000020,Carpool,2025-03-15 07:00,2025-03-15 07:51,Anna Nagar,Chengalpattu Bus Stand,51.99,2,2.0,377.55,UPI,Shared,7.279,2.703
RIDE000021,Private,2025-04-30 13:47,2025-04-30 14:27,Adyar,Mahindra City,32.45,1,,343.17,Card,Standard,6.23,0.0
RIDE000022,Private,2025-04-16 09:13,2025-04-16 09:53,Anna Nagar,Chengalpattu Town,36.49,1,,416.11,UPI,Standard,7.006,0.0
RIDE000023,Private,2025-03-17 23:39,2025-03-18 00:16,T Nagar,Chengalpattu Bus Stand,36.93,1,,353.22,Card,Standard,7.091,0.0
RIDE000024,Private,2025-03-09 10:44,2025-03-09 11:36,Chromepet,Chengalpattu Bus Stand,44.27,1,,453.87,Card,Standard,8.5,0.0
RIDE000025,Private,2025-01-01 16:02,2025-01-01 16:51,Guindy,Chengalpattu Town,46.37,1,,516.63,Card,Standard,8.903,0.0
RIDE000026,Private,2025-03-09 23:18,2025-03-10 00:11,Adyar,Chengalpattu Town,47.93,1,,466.4,UPI,Standard,9.203,0.0
RIDE000027,Carpool,2025-03-31 04:56,2025-03-31 06:08,Velachery,Mahindra City,61.01,4,3.7,450.08,Card,Shared,8.541,3.173
RIDE000028,Private,2025-03-24 17:18,2025-03-24 18:36,Adyar,Chengalpattu Town,63.25,1,,603.12,Wallet,Standard,12.144,0.0
RIDE000029,Carpool,2025-01-28 20:23,2025-01-28 21:04,Adyar,Mahindra City,34.25,4,3.4,215.03,Wallet,Shared,4.795,1.781
RIDE000030,Carpool,2025-03-04 12:09,2025-03-04 12:47,Guindy,Mahindra City,33.44,2,1.9,220.26,Card,Shared,4.682,1.738
RIDE000031,Private,2025-03-28 05:47,2025-03-28 06:40,Chromepet,Chengalpattu Bus Stand,45.82,1,,467.85,Card,Standard,8.797,0.0
RIDE000032,Carpool,2025-03-15 20:12,2025-03-15 21:16,Velachery,Chengalpattu Town,52.16,2,1.7,378.41,Wallet,Shared,7.302,2.713
RIDE000033,Carpool,2025-03-16 03:35,2025-03-16 04:38,OMR Sholinganallur,Chengalpattu Town,53.74,3,2.5,396.5,Cash,Shared,7.524,2.794
RIDE000034,Carpool,2025-04-18 18:53,2025-04-18 19:52,Perungudi,Chengalpattu Town,52.2,2,1.8,353.36,Cash,Shared,7.308,2.714
RIDE000035,Private,2025-04-16 07:31,2025-04-16 08:38,OMR Sholinganallur,Chengalpattu Bus Stand,57.37,1,,524.17,UPI,Standard,11.015,0.0
RIDE000036,Private,2025-04-15 02:18,2025-04-15 03:08,OMR Sholinganallur,SRM University,41.49,1,,452.09,UPI,Standard,7.966,0.0
RIDE000037,Private,2025-02-26 20:53,2025-02-26 21:49,Pallavaram,Chengalpattu Bus Stand,52.37,1,,600.15,Cash,Standard,10.055,0.0
RIDE000038,Carpool,2025-04-06 11:15,2025-04-06 12:07,Chromepet,SRM University,42.5,3,2.9,287.13,Card,Shared,5.95,2.21
RIDE000039,Carpool,2025-03-01 09:16,2025-03-01 10:00,Perungudi,Chengalpattu Town,42.76,3,2.6,267.77,Wallet,Shared,5.986,2.224
RIDE000040,Private,2025-04-17 09:41,2025-04-17 10:29,Perungudi,Chengalpattu Town,51.54,1,,531.54,Cash,Standard,9.896,0.0
RIDE000041,Private,2025-03-04 17:56,2025-03-04 18:40,OMR Sholinganallur,Singaperumal Koil,47.99,1,,494.53,UPI,Standard,9.214,0.0
RIDE000042,Private,2025-04-28 16:34,2025-04-28 17:22,Perungudi,Mahindra City,40.77,1,,453.3,Card,Standard,7.828,0.0
RIDE000043,Carpool,2025-04-23 13:20,2025-04-23 14:17,T Nagar,Chengalpattu Town,61.17,4,3.7,414.63,UPI,Shared,8.564,3.181
RIDE000044,Private,2025-02-15 14:35,2025-02-15 15:41,Chromepet,Chengalpattu Bus Stand,55.98,1,,520.86,Cash,Standard,10.748,0.0
RIDE000045,Carpool,2025-02-25 06:46,2025-02-25 07:44,T Nagar,SRM University,63.89,3,2.7,477.56,Cash,Shared,8.945,3.322
RIDE000046,Carpool,2025-03-14 19:46,2025-03-14 20:34,OMR Sholinganallur,SRM University,50.97,2,1.5,389.89,Card,Shared,7.136,2.65
RIDE000047,Carpool,2025-01-26 14:09,2025-01-26 14:45,OMR Sholinganallur,Mahindra City,32.95,3,2.4,252.91,Cash,Shared,4.613,1.713
RIDE000048,Carpool,2025-01-24 16:07,2025-01-24 16:52,Chromepet,Chengalpattu Town,47.56,2,1.9,366.76,Cash,Shared,6.658,2.474
RIDE000049,Carpool,2025-03-21 10:00,2025-03-21 11:05,Mylapore,SRM University,54.08,3,2.8,369.61,UPI,Shared,7.571,2.812
RIDE000050,Private,2025-02-04 21:10,2025-02-04 22:05,Guindy,Mahindra City,46.9,1,,492.52,Cash,Standard,9.005,0.0
RIDE000051,Carpool,2025-01-13 09:23,2025-01-13 10:33,Guindy,SRM University,64.89,3,2.5,400.15,Card,Shared,9.085,3.374
RIDE000052,Carpool,2025-02-20 18:50,2025-02-20 19:51,Guindy,Chengalpattu Bus Stand,49.83,3,2.8,304.31,UPI,Shared,6.976,2.591
RIDE000053,Carpool,2025-03-15 19:14,2025-03-15 20:05,Mylapore,Singaperumal Koil,44.63,4,3.6,314.97,Cash,Shared,6.248,2.321
RIDE000054,Carpool,2025-04-04 20:24,2025-04-04 21:05,Adyar,Chengalpattu Town,35.57,4,3.9,224.47,Wallet,Shared,4.98,1.849
RIDE000055,Private,2025-04-02 17:50,2025-04-02 18:53,Guindy,Mahindra City,56.65,1,,528.72,Card,Standard,10.877,0.0
RIDE000056,Carpool,2025-03-19 15:29,2025-03-19 16:22,T Nagar,Singaperumal Koil,46.46,2,1.9,340.47,Wallet,Shared,6.504,2.416
RIDE000057,Private,2025-03-06 14:52,2025-03-06 16:04,Anna Nagar,SRM University,62.59,1,,621.77,Cash,Standard,12.017,0.0
RIDE000058,Carpool,2025-02-13 20:08,2025-02-13 21:06,Chromepet,Singaperumal Koil,60.89,4,3.7,374.23,UPI,Shared,8.525,3.166
RIDE000059,Private,2025-04-25 19:37,2025-04-25 20:21,Mylapore,Singaperumal Koil,36.02,1,,381.36,UPI,Standard,6.916,0.0
RIDE000060,Private,2025-01-21 07:03,2025-01-21 08:05,Guindy,SRM University,61.33,1,,604.15,Wallet,Standard,11.775,0.0
RIDE000061,Carpool,2025-03-14 00:02,2025-03-14 01:12,T Nagar,Chengalpattu Bus Stand,64.17,3,2.4,479.81,Cash,Shared,8.984,3.337
RIDE000062,Private,2025-04-01 10:08,2025-04-01 10:59,Guindy,Singaperumal Koil,51.12,1,,525.61,Cash,Standard,9.815,0.0
RIDE000063,Carpool,2025-04-17 13:56,2025-04-17 14:41,OMR Sholinganallur,Chengalpattu Bus Stand,45.67,3,2.6,324.59,UPI,Shared,6.394,2.375
RIDE000064,Private,2025-02-07 14:03,2025-02-07 14:43,Adyar,Chengalpattu Town,34.32,1,,354.52,UPI,Standard,6.589,0.0
RIDE000065,Carpool,2025-04-02 03:08,2025-04-02 04:01,Chromepet,Singaperumal Koil,58.16,2,1.8,350.77,Card,Shared,8.142,3.025
RIDE000066,Carpool,2025-01-18 13:03,2025-01-18 13:56,OMR Sholinganallur,Mahindra City,55.49,2,1.8,369.21,Wallet,Shared,7.769,2.885
RIDE000067,Carpool,2025-01-19 07:13,2025-01-19 08:12,Perungudi,SRM University,63.7,4,3.4,398.79,Cash,Shared,8.918,3.312
RIDE000068,Carpool,2025-02-18 17:47,2025-02-18 18:47,Chromepet,Singaperumal Koil,57.16,4,3.9,437.96,Card,Shared,8.002,2.973
RIDE000069,Private,2025-01-19 09:24,2025-01-19 10:01,T Nagar,Chengalpattu Town,34.68,1,,376.72,Card,Standard,6.659,0.0
RIDE000070,Private,2025-03-13 00:11,2025-03-13 00:54,Pallavaram,Singaperumal Koil,38.13,1,,372.82,Wallet,Standard,7.321,0.0
RIDE000071,Carpool,2025-04-28 10:37,2025-04-28 11:26,Guindy,Chengalpattu Town,52.22,2,1.7,372.44,Cash,Shared,7.311,2.715
RIDE000072,Carpool,2025-03-17 13:29,2025-03-17 14:14,Anna Nagar,Singaperumal Koil,48.66,2,1.7,293.97,Wallet,Shared,6.812,2.531
RIDE000073,Private,2025-03-23 21:31,2025-03-23 22:04,Velachery,Chengalpattu Town,31.55,1,,318.6,Wallet,Standard,6.058,0.0
RIDE000074,Carpool,2025-01-26 18:55,2025-01-26 19:30,T Nagar,Chengalpattu Bus Stand,33.51,2,2.0,207.74,UPI,Shared,4.691,1.743
RIDE000075,Private,2025-02-09 11:18,2025-02-09 12:34,Tambaram,SRM University,62.14,1,,610.75,Wallet,Standard,11.931,0.0
RIDE000076,Private,2025-01-09 19:23,2025-01-09 20:10,Mylapore,Chengalpattu Town,41.28,1,,381.79,Card,Standard,7.926,0.0
RIDE000077,Private,2025-02-18 16:19,2025-02-18 17:26,OMR Sholinganallur,Singaperumal Koil,58.6,1,,664.24,UPI,Standard,11.251,0.0
RIDE000078,Private,2025-01-25 21:36,2025-01-25 22:42,Anna Nagar,SRM University,60.65,1,,608.58,Wallet,Standard,11.645,0.0
RIDE000079,Carpool,2025-04-15 17:11,2025-04-15 18:12,T Nagar,Mahindra City,58.66,3,2.5,367.84,Cash,Shared,8.212,3.051
RIDE000080,Carpool,2025-02-08 07:20,2025-02-08 08:30,Mylapore,Chengalpattu Town,59.13,4,3.7,393.95,Wallet,Shared,8.278,3.075
RIDE000081,Private,2025-01-03 10:53,2025-01-03 11:53,Perungudi,Chengalpattu Bus Stand,52.6,1,,548.64,Cash,Standard,10.099,0.0
RIDE000082,Carpool,2025-02-12 13:10,2025-02-12 13:49,Pallavaram,Chengalpattu Town,34.01,4,3.9,259.46,Card,Shared,4.761,1.769
RIDE000083,Private,2025-02-27 22:51,2025-02-27 23:43,Guindy,Singaperumal Koil,54.52,1,,621.48,Cash,Standard,10.468,0.0
RIDE000084,Private,2025-03-21 00:41,2025-03-21 01:13,Mylapore,Chengalpattu Town,36.04,1,,355.82,UPI,Standard,6.92,0.0
RIDE000085,Private,2025-02-28 06:27,2025-02-28 07:41,Tambaram,Singaperumal Koil,60.48,1,,681.13,UPI,Standard,11.612,0.0
RIDE000086,Carpool,2025-01-08 22:35,2025-01-08 23:30,Chromepet,Chengalpattu Town,52.99,3,2.7,379.7,Card,Shared,7.419,2.755
RIDE000087,Carpool,2025-03-27 06:25,2025-03-27 07:11,Guindy,SRM University,47.16,2,1.8,306.36,Card,Shared,6.602,2.453
RIDE000088,Carpool,2025-01-13 08:06,2025-01-13 09:07,OMR Sholinganallur,Mahindra City,60.08,4,3.9,434.68,UPI,Shared,8.411,3.124
RIDE000089,Carpool,2025-04-05 13:18,2025-04-05 14:03,Guindy,Chengalpattu Bus Stand,44.46,3,2.9,311.71,Card,Shared,6.224,2.312
RIDE000090,Private,2025-04-02 16:52,2025-04-02 17:55,Guindy,Mahindra City,51.19,1,,462.68,Wallet,Standard,9.828,0.0
RIDE000091,Carpool,2025-01-05 02:39,2025-01-05 03:18,Adyar,Chengalpattu Town,38.58,2,1.7,296.34,Cash,Shared,5.401,2.006
RIDE000092,Carpool,2025-01-09 06:17,2025-01-09 07:04,Tambaram,Chengalpattu Town,44.35,4,4.0,281.45,Wallet,Shared,6.209,2.306
RIDE000093,Carpool,2025-04-30 03:26,2025-04-30 04:15,Pallavaram,SRM University,45.84,4,4.0,275.53,Cash,Shared,6.418,2.383
RIDE000094,Carpool,2025-04-10 20:17,2025-04-10 21:18,Mylapore,Mahindra City,60.3,4,3.5,419.82,Wallet,Shared,8.442,3.136
RIDE000095,Carpool,2025-04-05 15:28,2025-04-05 16:18,Adyar,Mahindra City,50.9,3,2.6,388.63,Cash,Shared,7.126,2.647
